season,strategy,num_households,total_generation_kwh,total_consumption_kwh,total_solar_used_kwh,total_battery_charge_kwh,total_battery_discharge_kwh,total_self_consumed_kwh,total_grid_import_kwh,total_grid_export_kwh,total_curtailed_kwh,total_unmet_load_kwh,avg_net_load_kwh,max_net_load_kwh,min_net_load_kwh,avg_soc_kwh_per_house,avg_net_cost_per_house,total_net_cost,avg_self_consumption_ratio,avg_self_sufficiency_ratio
Spring,LOAD_PRIORITY,50,22468.610088422753,36449.74786006793,10727.81717668669,9308.43379901283,8667.47832482217,19395.29550150886,17054.452358559072,2432.3591127232344,0.0,0.0,0.38836493810125483,4.498717250632354,-3.5,2.8230666444392796,212.03432134936781,10601.716067468391,0.8492077881463003,0.5540250161404596
Spring,CHARGE_PRIORITY,50,23173.328870677793,36600.380446540046,1096.419697876383,19517.414821862505,17855.97042887971,18952.390126756094,17647.99031978396,2559.4943509389054,0.0,0.0,0.37297365488506273,4.496729651402812,-3.5,2.7123454233051856,218.64895647985907,10932.447823992954,0.804527469935328,0.5387011303557814
Spring,PRODUCE_PRIORITY,50,23296.535502782805,36499.85954468335,0.0,0.0,290.2970892034572,290.2970892034572,36209.56245547989,23296.535502782805,0.0,0.0,0.366759001163904,4.497188200002585,-3.5,0.03134467330736286,123.80579778210786,6190.289889105393,0.01253482726331866,0.0084645352136613
Summer,LOAD_PRIORITY,50,16555.734523644394,36511.96953798466,9561.689287550056,5641.947220987648,5366.673512129025,14928.362799679084,21583.606738305578,1352.0980151066867,0.0,0.0,0.5543398615094519,4.4999665779235665,-3.5,1.674145882669421,299.4163368026633,14970.816840133166,0.8899201106465281,0.4313736317348901
Summer,CHARGE_PRIORITY,50,16660.751474546436,36583.33682716132,587.7294330356461,14749.761512513005,13565.082450465163,14152.811883500808,22430.524943660515,1323.2605289977846,0.0,0.0,0.5534051486837468,4.4997905581586215,-3.5,1.5586237038023285,312.6391846329476,15631.95923164738,0.841804896629833,0.4089200300995064
Summer,PRODUCE_PRIORITY,50,16299.020321469303,36501.52426397959,0.0,0.0,290.2970892034572,290.2970892034572,36211.22717477613,16299.020321469303,0.0,0.0,0.5611806650697302,4.493208173885183,-3.5,0.03134467330736286,249.78604183519448,12489.302091759724,0.018125850915121693,0.00847724170660427
Fall,LOAD_PRIORITY,50,27727.08565013082,36509.252657443605,11257.69499379618,12012.589742532902,11097.226511527744,22354.921505323924,14154.331152119692,4456.800913801738,0.0,0.0,0.2439490835364665,4.499230971967482,-3.5,3.788800226078304,132.09255083336404,6604.627541668203,0.7868542058642,0.6328239569925949
Fall,CHARGE_PRIORITY,50,28779.426783222698,36481.54391543554,1852.9680818544034,22553.327408116642,20587.329163602073,22440.297245456473,14041.24666997907,4373.131293251656,0.0,0.0,0.21394769811702338,4.49697078299146,-3.5,3.7418984071023242,131.90233677115629,6595.116838557814,0.7606731948044719,0.629212895397668
Fall,PRODUCE_PRIORITY,50,27700.678834991646,36576.77974839506,0.0,0.0,290.2970892034572,290.2970892034572,36286.4826591916,27700.678834991646,0.0,0.0,0.24655835870565038,4.497054177212116,-3.5,0.03134467330736286,45.68502085802443,2284.2510429012214,0.010481984994711622,0.00843422457946033
Winter,LOAD_PRIORITY,50,31319.073784697215,36463.09362722265,11482.888437967575,13732.227076305491,12648.903574557937,24131.79201252551,12331.301614697146,6103.95827042415,0.0,0.0,0.14288944007015117,4.4951217722124,-3.5,4.444803277870125,75.09827535282247,3754.9137676411237,0.7511549412512604,0.6816822080745598
Winter,CHARGE_PRIORITY,50,31075.847326709896,36528.737457417206,2221.8806185161707,23609.312548188427,21534.97859046781,23756.85920898398,12771.878248433226,5244.654160005296,0.0,0.0,0.15146917029742543,4.499906366125537,-3.5,4.217572164904162,97.1743988464031,4858.719942320155,0.7436638979594585,0.6671453001776746
Winter,PRODUCE_PRIORITY,50,30829.848348792766,36370.362882948524,0.0,0.0,290.2970892034572,290.2970892034572,36080.06579374507,30829.848348792766,0.0,0.0,0.15390318150432672,4.498846680090848,-3.5,0.03134467330736286,-13.736283372093736,-686.8141686046868,0.00937177360498544,0.008499962720897094
