season,strategy,generation_kwh,consumption_kwh,avg_generation_kwh_per_day,avg_consumption_kwh_per_day,avg_generation_kwh_per_step,avg_consumption_kwh_per_step,grid_import_kwh,grid_export_kwh,curtailed_kwh,unmet_load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,self_consumption_ratio,self_sufficiency_ratio,avg_net_load_kwh,max_net_load_kwh,min_net_load_kwh,unmet_events,unmet_pct_time,unmet_hours,avg_soc_kwh,min_soc_kwh,max_soc_kwh,soc_full_events,soc_empty_events,avg_cloud,peak_load_kw,peak_gen_kw,inverter_failed_hours_step,inverter_failures,inverter_downtime_hours,avg_failure_duration_hours,batt_in_kwh,batt_out_kwh,batt_eff_real,net_cost,household_id,household_type,wealth_level,wealth_multiplier
Fall,CHARGE_PRIORITY,331.10564596930135,384.16999620177734,11.03685486564338,12.805666540059244,0.4598689527351408,0.5335694391691352,151.47183520825834,78.75961507894917,0.0,0.0,17.92,234.4260308903522,214.778160993519,232.69816099351902,0.7027912807475768,0.6057166444390913,0.0737004864339944,3.2773422454581227,-2.6286463905199255,0,0.0,0.0,2.7117052508431434,-3.469446951953614e-18,8.0,64,208,0.515656830476149,3.2773422454581227,2.9086463905199254,0.0,0,0.0,0.0,234.42603089035214,214.77816099351944,0.9161873371220342,42.72022283513951,1,apartment,low,0.8
Fall,CHARGE_PRIORITY,509.71727987981086,553.3923599636121,16.990575995993694,18.44641199878707,0.7079406664997373,0.7686004999494612,212.2774166797473,139.98729881559814,0.0,0.0,36.14543835820748,333.5845427060053,304.9695049256574,341.1149432838649,0.6692238163169557,0.6164070340730664,0.06065983344972391,3.4976627611506026,-3.5,0,0.0,0.0,3.3087817331026335,-1.1102230246251565e-16,10.0,72,229,0.5017459084023896,3.4976627611506026,4.0,0.0,0,0.0,0.0,333.58454270600504,304.9695049256573,0.9142195332306906,33.21949357577215,2,small_family,middle,1.0
Fall,CHARGE_PRIORITY,632.034660691746,774.3707088030931,21.067822023058202,25.812356960103102,0.877825917627425,1.0755148733376292,281.5468968502021,97.30579986821596,0.0,0.0,51.64224949872934,483.08661132480063,441.1815624541616,492.823811952891,0.7797417493108807,0.6364184574008805,0.19768895571020423,3.7646042586123385,-3.16,0,0.0,0.0,4.21935014692279,-1.1102230246251565e-16,13.5,59,281,0.4841643347133931,3.7646042586123385,4.0,0.0,0,0.0,0.0,483.0866113248007,441.18156245415884,0.9132556194101037,123.5849527562572,3,family_house,high,1.2
Fall,CHARGE_PRIORITY,791.7708288464987,1254.78992102862,26.392360961549958,41.826330700954,1.0996817067312483,1.7427637792064168,539.8044175551868,10.32516456626107,0.0,0.0,31.462559387646714,749.9831048925909,683.5229440857865,714.9855034734331,0.9030207699304467,0.5698049462234446,0.6430820724751685,4.494943976802514,-2.5,0,0.0,0.0,4.139411234300131,-2.220446049250313e-16,18.0,16,335,0.4508225796554967,4.494943976802514,4.0,0.0,0,0.0,0.0,749.9831048925906,683.5229440857863,0.911384456032083,395.5606650567551,4,luxury_house,luxury,1.5
Fall,CHARGE_PRIORITY,309.350510686957,368.8667208755597,10.311683689565234,12.295557362518656,0.4296534870652181,0.512314890104944,131.61058254786832,51.41151594176511,0.0,0.0,13.16309864816603,244.7758960970259,224.09303967952536,237.2561383276914,0.766949237616677,0.6432028830481885,0.0826614030397259,3.254061302912352,-2.6153856578604517,0,0.0,0.0,2.740916928691165,-2.7755575615628914e-17,8.0,47,219,0.5474803626458412,3.254061302912352,2.8953856578604515,0.0,0,0.0,0.0,244.77589609702576,224.09303967952573,0.9155028875502446,52.43757256331264,5,apartment,low,0.8
Fall,CHARGE_PRIORITY,621.714597531131,532.6009030557016,20.723819917704365,17.753363435190053,0.8634924965710152,0.7397234764662521,160.54502187737404,220.15306506656748,0.0,0.0,59.07085469967775,342.4906777648857,312.98502647864973,372.05588117832747,0.5984351705039347,0.6985641200450919,-0.1237690201047631,3.4617338090340253,-3.5,0,0.0,0.0,4.170487647617254,-5.551115123125783e-17,10.0,116,194,0.38972418229826994,3.4617338090340253,4.0,0.0,0,0.0,0.0,342.49067776488573,312.98502647864973,0.9138497681782418,-77.7289921518802,6,small_family,middle,1.0
Fall,CHARGE_PRIORITY,638.3813668820853,771.7863459974656,21.27937889606951,25.72621153324885,0.8866407873362296,1.0719254805520355,283.8308862227641,109.5119941061858,0.0,0.0,55.694120145508386,473.1752526303911,432.261339629193,487.95545977470135,0.7643635686892332,0.6322416330701758,0.1852846932158058,3.799608477827765,-3.16,0,0.0,0.0,4.004471217337182,-1.1102230246251565e-16,13.5,61,262,0.4739564169491487,3.799608477827765,4.0,0.0,0,0.0,0.0,473.1752526303907,432.2613396291901,0.9135332780534077,114.31236997150585,7,family_house,high,1.2
Fall,CHARGE_PRIORITY,728.8506766041866,1257.6300832205056,24.295022553472887,41.921002774016856,1.0122926063947035,1.746708448917369,599.7666963806066,10.041673070564745,0.0,0.0,23.971339771848157,694.8376637617737,633.8920470680509,657.863386839899,0.902603795203941,0.5230976863683635,0.7344158425226652,4.414675457986361,-2.5,0,0.0,0.0,3.5270580664382933,-2.220446049250313e-16,18.0,10,373,0.5009305889140593,4.414675457986361,4.0,0.0,0,0.0,0.0,694.8376637617735,633.8920470680504,0.912287977649671,440.7875165219467,8,luxury_house,luxury,1.5
Fall,CHARGE_PRIORITY,374.86736982790836,382.99434832569585,12.495578994263612,12.766478277523195,0.5206491247609838,0.5319365948967998,133.20436051581123,104.20742687500831,0.0,0.0,24.013059600725278,246.6468833521748,225.77692820915937,249.78998780988462,0.6663423064124161,0.6522028037799265,0.01128747013581595,3.238901259957069,-2.5877326076119362,0,0.0,0.0,3.1215858794100377,-2.7755575615628914e-17,8.0,84,185,0.4516419388681986,3.238901259957069,2.867732607611936,0.0,0,0.0,0.0,246.64688335217485,225.77692820915976,0.9153852874223596,6.116586199350948,9,apartment,low,0.8
Fall,CHARGE_PRIORITY,559.8464723036536,528.3277674356898,18.661549076788454,17.610925581189658,0.7775645448661856,0.7337885658829025,151.40139764896566,151.41112882296636,0.0,0.0,45.91144163853123,362.5239018421561,331.01492814819306,376.9263697867243,0.6732673838878531,0.7134328214778249,-0.043775978983282955,3.48634281028252,-3.482670955857466,0,0.0,0.0,3.9900647999544714,-5.551115123125783e-17,10.0,89,180,0.45403565670911966,3.48634281028252,3.982670955857466,0.0,0,0.0,0.0,362.52390184215585,331.0149281481929,0.9130844241335512,-22.718967703945495,10,small_family,middle,1.0
Fall,CHARGE_PRIORITY,635.6928937487057,786.8047766064142,21.18976312495686,26.226825886880473,0.8829067968732024,1.092784411953353,294.5605028105752,101.93199310373831,0.0,0.0,54.55850953527363,479.20239110969374,437.6857642605654,492.24427379583904,0.7743428920418717,0.6256244095504213,0.20987761508015065,3.8074744577644406,-3.16,0,0.0,0.0,4.050232741034046,-2.7755575615628914e-17,13.5,62,278,0.47556210367283175,3.8074744577644406,4.0,0.0,0,0.0,0.0,479.20239110969374,437.6857642605629,0.9133630640844876,129.18158331456692,11,family_house,high,1.2
Fall,CHARGE_PRIORITY,850.0516487464456,1262.3673568490744,28.335054958214855,42.078911894969146,1.180627289925619,1.7532879956237144,493.16997211213203,7.973605888295655,0.0,0.0,27.889964821530526,814.1880780366193,741.3074199154121,769.1973847369427,0.9048831160686094,0.6093292737360493,0.5726607056980959,4.493119382440016,-2.5,0,0.0,0.0,4.478820780775489,0.0,18.0,12,283,0.4205097601715418,4.493119382440016,4.0,0.0,0,0.0,0.0,814.1880780366195,741.3074199154122,0.910486704377991,362.70123378463296,12,luxury_house,luxury,1.5
Fall,CHARGE_PRIORITY,372.87069002165754,376.6332345821642,12.429023000721918,12.554441152738807,0.5178759583634133,0.5231017146974503,117.44824270079957,91.7626418386165,0.0,0.0,23.930153244257244,257.17789493878377,235.2548386371074,259.1849918813647,0.695106906542615,0.6881628281394331,0.0052257563340371025,3.2736932102841703,-2.7194398163810374,0,0.0,0.0,3.320513012032354,0.0,8.0,83,173,0.4545626931279234,3.2736932102841703,2.999439816381037,0.0,0,0.0,0.0,257.1778949387839,235.25483863710795,0.9147552852203947,5.499804370844814,13,apartment,low,0.8
Fall,CHARGE_PRIORITY,548.816734733195,540.3560002494469,18.293891157773164,18.01186667498156,0.7622454649072152,0.7504944447908984,180.35024283089277,159.39089292605223,0.0,0.0,47.790833018730886,341.63500878841177,312.2149243998232,360.005757418554,0.6559671646921797,0.666238104605784,-0.011751020116316797,3.4710905895921154,-3.5,0,0.0,0.0,3.774583041420569,0.0,10.0,92,217,0.4623617165225292,3.4710905895921154,4.0,0.0,0,0.0,0.0,341.6350087884115,312.2149243998231,0.9138844567103207,-8.189121510277431,14,small_family,middle,1.0
Fall,CHARGE_PRIORITY,661.7479604534726,797.6581512641347,22.058265348449087,26.588605042137825,0.9190943895187119,1.1078585434224093,290.6174121921806,111.83714722769378,0.0,0.0,57.173949069121065,492.7368641566578,449.86679000283306,507.0407390719541,0.7662142830398705,0.6356617032852884,0.18876415390369733,3.817632380921249,-3.16,0,0.0,0.0,4.330960157552482,-1.232595164407831e-32,13.5,63,262,0.4490998253106352,3.817632380921249,4.0,0.0,0,0.0,0.0,492.73686415665753,449.86679000283016,0.9129960080677106,117.30962663921106,15,family_house,high,1.2
Fall,CHARGE_PRIORITY,708.1891589308459,1268.4228121208353,23.606305297694863,42.280760404027845,0.9835960540706193,1.7616983501678267,623.0270275463355,2.529999921045572,0.0,0.0,17.643917832249567,688.0152411775507,627.7518667422503,645.3957845744998,0.9113324829045034,0.5088175475931259,0.7781022960972077,4.494025801375988,-2.5,0,0.0,0.0,3.142389179720025,-2.220446049250313e-16,18.0,6,388,0.5194593657558951,4.494025801375988,4.0,0.0,0,0.0,0.0,688.0152411775504,627.75186674225,0.9124098263693133,464.99327073081065,16,luxury_house,luxury,1.5
Fall,CHARGE_PRIORITY,308.2416468130274,375.5262348747903,10.274721560434246,12.51754116249301,0.4281133983514269,0.5215642151038754,150.01828069411434,63.82251238138964,0.0,0.0,17.36,227.05913443163774,208.14795418067598,225.50795418067597,0.7315946969277132,0.6005118504060465,0.09345081675244855,3.260052780910658,-2.559249415444816,0,0.0,0.0,2.7098705808744468,-2.7755575615628914e-17,8.0,62,239,0.5022791057850114,3.260052780910658,2.839249415444816,65.0,1,64.6120285105049,64.6120285105049,227.05913443163797,208.14795418067632,0.9167125326259211,55.07344937733508,17,apartment,low,0.8
Fall,CHARGE_PRIORITY,547.427793247975,533.0554322173521,18.247593108265836,17.768514407245068,0.7603163795110764,0.7403547669685445,158.7690714208283,141.92394056247127,0.0,0.0,45.89476889317648,359.60908379232734,328.39159190334715,374.28636079652364,0.6837182280713661,0.7021527934526504,-0.019961612542532075,3.4931245070613572,-3.5,0,0.0,0.0,3.9744286588071374,0.0,10.0,88,192,0.46352294179339093,3.4931245070613572,4.0,0.0,0,0.0,0.0,359.60908379232706,328.3915919033472,0.9131904801742777,-8.654742940602915,18,small_family,middle,1.0
Fall,CHARGE_PRIORITY,545.5648647266182,786.1014326722199,18.185495490887273,26.203381089073996,0.7577289787869698,1.091807545378083,353.6631039074051,76.92580626205569,0.0,0.0,42.59563884867494,426.0434196158876,389.8426899161399,432.4383287648148,0.7926432890459488,0.5501050001840262,0.3340785665911134,3.818116416003185,-3.16,0,0.0,0.0,3.195427589592989,0.0,13.5,47,338,0.5479731895421486,3.818116416003185,4.0,0.0,0,0.0,0.0,426.0434196158877,389.84268991613766,0.9150304217058725,196.01410229470375,19,family_house,high,1.2
Fall,CHARGE_PRIORITY,845.4139355655004,1260.7561699869016,28.180464518850012,42.02520566623005,1.1741860216187505,1.7510502360929188,501.2214253864767,16.019447960582877,0.0,0.0,45.415560735444316,783.9789268694733,714.1191838649806,759.5347446004248,0.8984175829706064,0.602443805298463,0.5768642144741682,4.490380535410779,-2.5,0,0.0,0.0,4.750157566713091,-4.440892098500626e-16,18.0,20,312,0.3891666509206317,4.490380535410779,4.0,0.0,0,0.0,0.0,783.9789268694724,714.1191838649805,0.9108907897774106,361.49856587533293,20,luxury_house,luxury,1.5
Fall,CHARGE_PRIORITY,354.7122391969596,360.9587099852807,11.82374130656532,12.031956999509356,0.492655887773555,0.5013315416462232,110.27403410043429,82.46405238507911,0.0,0.0,18.66574561951913,253.5824411923614,232.0189302653273,250.6846758848464,0.7067268850163632,0.6944968190269434,0.008675653872668165,3.2449409344634224,-2.7189532474517595,0,0.0,0.0,3.0850099681696714,-5.551115123125783e-17,8.0,65,153,0.4811249753878056,3.2449409344634224,2.9989532474517593,0.0,0,0.0,0.0,253.58244119236136,232.01893026532764,0.9149644950744986,8.487878428754513,21,apartment,low,0.8
Fall,CHARGE_PRIORITY,544.4580415594135,536.6749493167067,18.148601385313782,17.889164977223558,0.7561917243880742,0.7453818740509816,158.58248916548553,134.1385269542376,0.0,0.0,40.6148051631025,369.7047094420734,337.4776549881186,378.09246015122113,0.694438195950426,0.7045092390330638,-0.010809850337092813,3.4738044504802774,-3.5,0,0.0,0.0,3.9305526949158622,0.0,10.0,81,176,0.4679013750960689,3.4738044504802774,4.0,0.0,0,0.0,0.0,369.7047094420732,337.4776549881187,0.9128302841946784,-1.7878073846996898,22,small_family,middle,1.0
