wealth_level,generation_kwh,consumption_kwh,grid_import_kwh,grid_export_kwh,self_consumed_kwh,battery_charge_kwh,battery_discharge_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,avg_soc_kwh,season,strategy
high,609.7635811360941,785.9220529784913,779.5184407166503,609.7635811360941,6.4036122618409665,0.0,6.4036122618409665,35.851607515003046,0.010588588878652397,0.00814864616572735,0.031191309922610974,Fall,PRODUCE_PRIORITY
low,357.6473295111492,385.97748608682065,382.1827528946186,357.6473295111492,3.794733192202055,0.0,3.794733192202055,-35.245531889070406,0.010795182534838335,0.009837112860058415,0.03491905797171745,Fall,PRODUCE_PRIORITY
luxury,721.3972974490802,1262.3206796614045,1253.78252997895,721.3972974490802,8.538149682454623,0.0,8.538149682454623,291.0793297800402,0.011897178125892654,0.006764082695218013,0.029559607706579377,Fall,PRODUCE_PRIORITY
middle,544.4102314095858,536.9353567375111,532.1919402472586,544.4102314095858,4.74341649025257,0.0,4.74341649025257,-90.82525308318333,0.008764051748318622,0.008836616573916361,0.029559607706579394,Fall,PRODUCE_PRIORITY
