household_type,generation_kwh,consumption_kwh,grid_import_kwh,grid_export_kwh,self_consumed_kwh,battery_charge_kwh,battery_discharge_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,avg_soc_kwh,season,strategy
apartment,354.49014629775996,381.92317451239256,130.50559460323194,89.00868779277833,251.41757990916068,176.225962184243,162.16208358842198,17.77137693892345,0.7120750578449846,0.6585658269456915,3.119017173738525,Fall,LOAD_PRIORITY
family_house,641.9740139388138,786.1774102681953,270.8176220368658,104.97355089863733,515.3597882313296,280.442870706879,258.8021958980321,108.63702071887576,0.8034074749013976,0.6553584151613299,4.442223521964945,Fall,LOAD_PRIORITY
luxury_house,719.4036973248923,1258.1170263199867,573.172363653678,13.914951684957815,684.9446626663089,290.82232656080265,270.27824358717703,417.3558162237964,0.9524434608753848,0.5444534087385983,3.905073489844592,Fall,LOAD_PRIORITY
small_family,521.7062471611898,539.4398576711019,179.22143030701156,144.07891857634442,360.2184273640903,220.49768207119723,203.0887808504422,4.745046011548674,0.6935017932233707,0.6678538625028163,3.7480941464307644,Fall,LOAD_PRIORITY
