wealth_level,generation_kwh,consumption_kwh,grid_import_kwh,grid_export_kwh,self_consumed_kwh,battery_charge_kwh,battery_discharge_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,avg_soc_kwh,season,strategy
high,669.0547629003707,784.1008516843311,777.69723942249,669.0547629003707,6.4036122618409665,0.0,6.4036122618409665,-18.87635704346606,0.009626346324461946,0.008168994455635722,0.031191309922610974,Winter,PRODUCE_PRIORITY
low,402.29717532425127,379.4449722033827,375.65023901118064,402.29717532425127,3.794733192202055,0.0,3.794733192202055,-80.32977853344067,0.009500760713880315,0.010007273281257762,0.03491905797171745,Winter,PRODUCE_PRIORITY
luxury,819.72162589027,1256.1927487716105,1247.654599089156,819.72162589027,8.538149682454623,0.0,8.538149682454623,197.9914860156239,0.010446659671131791,0.006797206359253598,0.029559607706579377,Winter,PRODUCE_PRIORITY
middle,594.974492622293,534.9273106794809,530.1838941892285,594.974492622293,4.74341649025257,0.0,4.74341649025257,-137.83912271814248,0.008015593770900237,0.00886993643152554,0.029559607706579394,Winter,PRODUCE_PRIORITY
