wealth_level,generation_kwh,consumption_kwh,grid_import_kwh,grid_export_kwh,self_consumed_kwh,battery_charge_kwh,battery_discharge_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,avg_soc_kwh,season,strategy
high,658.8511582118368,780.7492676493708,270.8298607233971,105.7876296551081,509.9194069259738,495.3782607613723,452.2341391306174,107.9135288529505,0.7745361668728403,0.653290375352391,4.3680668298305205,Fall,CHARGE_PRIORITY
low,337.5124392272983,379.5284228178525,140.0940498674345,77.71185102762684,239.43437295041804,240.96048510004582,220.5942698507924,35.129871475711724,0.711659357030418,0.6314193061598183,2.8806286770543506,Fall,CHARGE_PRIORITY
luxury,786.1447701949623,1261.7363051200803,550.976837561334,9.044348771532002,710.7594675587461,748.7910354713872,682.4500816067032,405.0927142766218,0.9042128724287997,0.5633802244954307,4.0682292893452106,Fall,CHARGE_PRIORITY
middle,542.4472255681719,541.3728881207729,181.41104940658838,152.6841145209866,359.9618387141846,345.44688823253335,315.6456158995327,-1.357416013946681,0.6643922790160376,0.665549737817839,3.7239380094846855,Fall,CHARGE_PRIORITY
