household_type,generation_kwh,consumption_kwh,grid_import_kwh,grid_export_kwh,self_consumed_kwh,battery_charge_kwh,battery_discharge_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,avg_soc_kwh,season,strategy
apartment,392.1369296713217,379.2293871922802,115.03681230252666,112.70459759238764,264.1925748897536,190.03883972116162,174.79908253198107,-15.15652860625389,0.676174749647487,0.6967604418704343,3.441240292556084,Winter,LOAD_PRIORITY
family_house,708.075773544689,784.055042763766,242.72521085243724,142.33331744120602,541.3298319113288,308.16236453995174,283.74974034779757,53.943922442242496,0.7656929281965151,0.690322189194087,5.0345603005160795,Winter,LOAD_PRIORITY
luxury_house,807.0907402287231,1260.8816019986557,505.43252845099096,24.86833562229991,755.4490735476647,353.11480741213285,326.3414763533742,356.6928942781733,0.9361857448312647,0.5992805477984265,4.898448778785688,Winter,LOAD_PRIORITY
small_family,618.4073487453142,537.9901428133809,142.91770639408932,202.49066653546458,395.0724364192916,255.87662280810565,235.03237701754765,-75.05332008635115,0.6419177877547942,0.7346916781155521,4.485225472204307,Winter,LOAD_PRIORITY
