wealth_level,generation_kwh,consumption_kwh,grid_import_kwh,grid_export_kwh,self_consumed_kwh,battery_charge_kwh,battery_discharge_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,avg_soc_kwh,season,strategy
high,511.78538907207457,787.3893218938321,368.6699744166524,57.00849540252253,418.7193474771796,424.6115845421338,388.5540383497614,225.19483495021902,0.8197677814655542,0.531954072588019,2.8772154460848065,Spring,CHARGE_PRIORITY
low,289.65187415966466,384.4327077358966,166.35049901417918,53.10056144924348,218.08220872171736,222.6383718090586,204.16926782035478,76.97236895631526,0.7594467546243039,0.5681719608709772,2.3850347568534813,Spring,CHARGE_PRIORITY
luxury,639.3281538180753,1261.2345277664328,680.6193432977467,5.459744209129638,580.6151844686862,617.9137482271411,564.6605230868817,505.55073768509334,0.9082248051036954,0.4603573684120417,2.7208453330619626,Spring,CHARGE_PRIORITY
middle,430.34553784002713,539.943773080786,222.61246307898773,86.12062898145497,317.3313100017983,316.3701534702649,289.476554613491,89.45078122593131,0.7398195882938042,0.5877756718819719,2.879622305877137,Spring,CHARGE_PRIORITY
