household_type,generation_kwh,consumption_kwh,grid_import_kwh,grid_export_kwh,self_consumed_kwh,battery_charge_kwh,battery_discharge_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,avg_soc_kwh,season,strategy
apartment,204.66229559936403,385.34643359677983,219.5991521418769,25.456772693331168,165.74728145490295,172.52974643331962,159.07150498218968,141.78826868240964,0.8121758217160534,0.430419977076053,1.4279873198748054,Summer,CHARGE_PRIORITY
family_house,373.5870600833837,790.1417057588807,471.0158724293917,27.90783176310318,319.125833329489,329.57007252632474,303.01667753553323,328.1448557352509,0.857150227272571,0.40398722628437383,1.6388074135065722,Summer,CHARGE_PRIORITY
luxury_house,443.25931240661225,1258.1428511127997,852.0878828635023,2.3784580448275827,406.0549682492975,433.6403579494179,398.81447183693064,636.9252999072819,0.9164445184949667,0.3227441970895886,1.2692738234892265,Summer,CHARGE_PRIORITY
small_family,322.92193552882713,538.0321929186939,284.49930017702985,48.37592356071616,253.53289274166403,257.5653571669954,236.55223794054842,169.83614392812785,0.7883709384594236,0.47152036326916036,1.8823365529072602,Summer,CHARGE_PRIORITY
