hour_index,generation_kw,load_kw,generation_kwh,load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,soc,cloud,inverter_failed_frac,season,strategy,time_step_min
33,1.3797654791046685,0.5,1.3797654791046685,0.5,0.0,0.0,0.0,0.0,8.387115065485933,0.6097433893111933,0.0,Spring,LOAD_PRIORITY,60
34,0.9756415267220174,0.5,0.9756415267220174,0.5,0.0,0.0,0.0,0.0,8.838348237746358,0.6097433893111933,0.0,Spring,LOAD_PRIORITY,60
35,0.5050292166171162,0.5,0.5050292166171162,0.5,0.0,0.0,0.0,0.0,8.843119371553295,0.6097433893111933,0.0,Spring,LOAD_PRIORITY,60
36,2.3896325456307095e-16,0.5,2.3896325456307095e-16,0.5,0.0,0.0,0.0,0.0,8.316073094858565,0.6097433893111933,0.0,Spring,LOAD_PRIORITY,60
37,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,7.789026818163835,0.6097433893111933,0.0,Spring,LOAD_PRIORITY,60
38,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,7.261980541469105,0.6097433893111933,0.0,Spring,LOAD_PRIORITY,60
39,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,6.734934264774376,0.6097433893111933,0.0,Spring,LOAD_PRIORITY,60
40,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,6.207887988079646,0.6097433893111933,0.0,Spring,LOAD_PRIORITY,60
41,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,5.680841711384916,0.6097433893111933,0.0,Spring,LOAD_PRIORITY,60
42,0.0,2.564576656559755,0.0,2.564576656559755,0.0,0.0,0.0,0.0,2.97754055510884,0.6097433893111933,0.0,Spring,LOAD_PRIORITY,60
43,0.0,2.712728602137194,0.0,2.712728602137194,0.0,0.0,0.0,0.0,0.11807353622942518,0.6097433893111933,0.0,Spring,LOAD_PRIORITY,60
44,0.0,2.6719519945211463,0.0,2.6719519945211463,2.5599376027585286,0.0,0.0,0.0,0.0,0.6097433893111933,0.0,Spring,LOAD_PRIORITY,60
45,0.0,2.477226226570538,0.0,2.477226226570538,2.477226226570538,0.0,0.0,0.0,0.0,0.6097433893111933,0.0,Spring,LOAD_PRIORITY,60
46,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.6097433893111933,0.0,Spring,LOAD_PRIORITY,60
47,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.6097433893111933,0.0,Spring,LOAD_PRIORITY,60
48,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
49,1.2820962140884413,0.5,1.2820962140884413,0.5,0.0,0.0,0.0,0.0,0.7419616157742432,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
50,2.476819689950928,0.5,2.476819689950928,0.5,0.0,0.0,0.0,0.0,2.6173374388880832,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
51,3.5027519970813272,0.5,3.5027519970813272,0.5,0.0,0.0,0.0,0.0,5.465998106706964,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
52,4.0,0.5,4.0,0.5,0.0,0.0,0.0,0.0,8.786389649883763,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
53,4.0,0.5,4.0,0.5,0.0,0.0,0.0,0.0,12.106781193060561,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
54,4.0,0.5,4.0,0.5,0.0,2.03141843036299,0.0,0.0,13.5,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
55,4.0,0.5,4.0,0.5,0.0,3.5,0.0,0.0,13.5,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
56,4.0,0.5,4.0,0.5,0.0,3.5,0.0,0.0,13.5,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
57,3.5027519970813272,0.5,3.5027519970813272,0.5,0.0,3.0027519970813272,0.0,0.0,13.5,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
58,2.47681968995093,0.5,2.47681968995093,0.5,0.0,1.97681968995093,0.0,0.0,13.5,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
59,1.2820962140884427,0.5,1.2820962140884427,0.5,0.0,0.7820962140884427,0.0,0.0,13.5,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
60,6.066458610727088e-16,0.5,6.066458610727088e-16,0.5,0.0,0.0,0.0,0.0,12.97295372330527,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
61,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,12.44590744661054,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
62,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,11.918861169915811,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
63,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,11.391814893221081,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
64,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,10.864768616526352,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
65,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,10.337722339831622,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
66,0.0,0.63597906462052,0.0,0.63597906462052,0.0,0.0,0.0,0.0,9.667341543703538,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
67,0.0,0.6003037756166466,0.0,0.6003037756166466,0.0,0.0,0.0,0.0,9.034565804054454,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
68,0.0,0.81619587664345,0.0,0.81619587664345,0.0,0.0,0.0,0.0,8.174219808377412,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
69,0.0,3.4197233494965062,0.0,3.4197233494965062,0.0,0.0,0.0,0.0,4.569514891021084,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
70,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.042468614326355,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
71,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,3.515422337631625,0.009272124019628736,0.0,Spring,LOAD_PRIORITY,60
72,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,2.9883760609368952,0.7411479724328303,0.0,Spring,LOAD_PRIORITY,60
73,0.3349791729889312,0.5,0.3349791729889312,0.5,0.0,0.0,0.0,0.0,2.8144288360303573,0.7411479724328303,0.0,Spring,LOAD_PRIORITY,60
74,0.6471300689179242,0.5,0.6471300689179242,0.5,0.0,0.0,0.0,0.0,2.9540086750538133,0.7411479724328303,0.0,Spring,LOAD_PRIORITY,60
75,0.9151801200831643,0.5,0.9151801200831643,0.5,0.0,0.0,0.0,0.0,3.347883120659318,0.7411479724328303,0.0,Spring,LOAD_PRIORITY,60
76,1.120862158471394,0.5,1.120862158471394,0.5,0.0,0.0,0.0,0.0,3.936884680792721,0.7411479724328303,0.0,Spring,LOAD_PRIORITY,60
77,1.2501592930720953,0.5,1.2501592930720953,0.5,0.0,0.0,0.0,0.0,4.648548273007599,0.7411479724328303,0.0,Spring,LOAD_PRIORITY,60
78,1.2942601378358487,0.5,1.2942601378358487,0.5,0.0,0.0,0.0,0.0,5.402049600079767,0.7411479724328303,0.0,Spring,LOAD_PRIORITY,60
79,1.2501592930720955,0.5,1.2501592930720955,0.5,0.0,0.0,0.0,0.0,6.113713192294645,0.7411479724328303,0.0,Spring,LOAD_PRIORITY,60
80,1.1208621584713943,0.5,1.1208621584713943,0.5,0.0,0.0,0.0,0.0,6.702714752428048,0.7411479724328303,0.0,Spring,LOAD_PRIORITY,60
81,0.9151801200831643,0.5,0.9151801200831643,0.5,0.0,0.0,0.0,0.0,7.096589198033553,0.7411479724328303,0.0,Spring,LOAD_PRIORITY,60
82,0.6471300689179248,0.5,0.6471300689179248,0.5,0.0,0.0,0.0,0.0,7.236169037057009,0.7411479724328303,0.0,Spring,LOAD_PRIORITY,60
83,0.3349791729889316,0.5,0.3349791729889316,0.5,0.0,0.0,0.0,0.0,7.062221812150472,0.7411479724328303,0.0,Spring,LOAD_PRIORITY,60
84,1.5850115350646843e-16,0.5,1.5850115350646843e-16,0.5,0.0,0.0,0.0,0.0,6.535175535455743,0.7411479724328303,0.0,Spring,LOAD_PRIORITY,60
85,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,6.008129258761013,0.7411479724328303,0.0,Spring,LOAD_PRIORITY,60
86,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,5.481082982066283,0.7411479724328303,0.0,Spring,LOAD_PRIORITY,60
