hour_index,generation_kw,load_kw,generation_kwh,load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,soc,cloud,inverter_failed_frac,season,strategy,time_step_min
33,2.073451405820562,0.5,2.073451405820562,0.5,0.0,1.573451405820562,0.0,0.0,13.5,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
34,1.4661515495165005,0.5,1.4661515495165005,0.5,0.0,0.9661515495165005,0.0,0.0,13.5,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
35,0.7589358880428839,0.5,0.7589358880428839,0.5,0.0,0.2589358880428839,0.0,0.0,13.5,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
36,3.5910356043606264e-16,0.5,3.5910356043606264e-16,0.5,0.0,0.0,0.0,0.0,12.97295372330527,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
37,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,12.44590744661054,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
38,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,11.918861169915811,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
39,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,11.391814893221081,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
40,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,10.864768616526352,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
41,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,10.337722339831622,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
42,0.0,2.2834483902829485,0.0,2.2834483902829485,0.0,0.0,0.0,0.0,7.930756395585217,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
43,0.0,1.9389727620119896,0.0,1.9389727620119896,0.0,0.0,0.0,0.0,5.8868996459233855,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
44,0.0,2.2675440840673233,0.0,2.2675440840673233,0.0,0.0,0.0,0.0,3.4966983124256967,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
45,0.0,2.78899840429117,0.0,2.78899840429117,0.0,0.0,0.0,0.0,0.5568358630472883,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
46,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.02978958635255835,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
47,0.0,0.5,0.0,0.5,0.47173911697149434,0.0,0.0,0.0,0.0,0.4135393801934002,0.0,Spring,CHARGE_PRIORITY,60
48,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
49,1.0572306823682274,0.5,1.0572306823682274,0.5,0.0,0.0,0.0,0.0,0.47593081385455527,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
50,2.0424128408893707,0.5,2.0424128408893707,0.5,0.0,0.0,0.0,0.0,1.8864874870354729,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
51,2.888407939550711,0.5,2.888407939550711,0.5,0.0,0.0,0.0,0.0,4.0996255805490005,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
52,3.5375628104514796,0.5,3.5375628104514796,0.5,0.0,0.0,0.0,0.0,6.928606057934225,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
53,3.9456386219189374,0.5,3.9456386219189374,0.5,0.0,0.0,0.0,0.0,10.144721241997036,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
54,4.0,0.5,4.0,0.5,0.0,0.0,0.0,0.0,13.461236427970928,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
55,3.9456386219189383,0.5,3.9456386219189383,0.5,0.0,3.4047782293003173,0.0,0.0,13.5,0.18303486364425156,0.0,Spring,CHARGE_PRIORITY,60
