wealth_level,generation_kwh,consumption_kwh,grid_import_kwh,grid_export_kwh,self_consumed_kwh,battery_charge_kwh,battery_discharge_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,avg_soc_kwh,season,strategy
high,792.0353533171204,782.1999635039771,775.7963512421362,792.0353533171204,6.4036122618409665,0.0,6.4036122618409665,-130.98455455380622,0.008085531321011632,0.008188357939626181,0.031191309922610974,Spring,PRODUCE_PRIORITY
low,425.5594703738914,380.37270791522775,376.5779747230257,425.5594703738914,3.794733192202055,0.0,3.794733192202055,-100.57004229423302,0.008924840828536283,0.009982583477920278,0.03491905797171745,Spring,PRODUCE_PRIORITY
luxury,1008.019414191806,1260.848845490354,1252.3106958078995,1008.019414191806,8.538149682454623,0.0,8.538149682454623,32.01554908329916,0.008470783429585,0.006772187543623687,0.029559607706579377,Spring,PRODUCE_PRIORITY
middle,647.19498066055,541.4175872194936,536.674170729241,647.19498066055,4.74341649025257,0.0,4.74341649025257,-179.9698545475642,0.007330439237718969,0.008763586897777148,0.029559607706579394,Spring,PRODUCE_PRIORITY
