household_id,household_type,wealth_level,generation_kwh,consumption_kwh,self_consumed_kwh,grid_import_kwh,grid_export_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,season,strategy
1,apartment,low,433.0544753198197,384.16999620177734,358.1759909733106,25.99400522846672,41.100038085729025,-17.494530355806088,0.8270922283132861,0.9323372322527397,Fall,CHARGE_PRIORITY
2,small_family,middle,649.5817129797294,553.3923599636121,532.366100676873,21.026259286739183,71.44471310972952,-48.53054733370219,0.819552167247488,0.9620047893539375,Fall,CHARGE_PRIORITY
3,family_house,high,793.9332047530029,774.3707088030931,717.9798585307985,56.390850272294486,2.430360278843491,40.105813453261725,0.9043328257748914,0.9271784823066783,Fall,CHARGE_PRIORITY
4,luxury_house,luxury,1010.4604424129127,1254.78992102862,917.9525478540759,336.83737317454404,0.0,252.62802988090803,0.9084497614395136,0.7315587513657903,Fall,CHARGE_PRIORITY
5,apartment,low,433.0544753198197,368.8667208755597,359.9308709248471,8.935849950712555,40.36751901055528,-29.628879646465336,0.8311445590281239,0.9757748545883944,Fall,CHARGE_PRIORITY
6,small_family,middle,649.5817129797294,532.6009030557016,517.0514156041475,15.549487451554093,82.52828856279869,-62.61334411785326,0.7959759415522252,0.9708046168109334,Fall,CHARGE_PRIORITY
7,family_house,high,793.9332047530029,771.7863459974656,713.9610907299024,57.825255267563136,4.856070860919774,38.998477675844555,0.8992709795429449,0.9250760841164802,Fall,CHARGE_PRIORITY
8,luxury_house,luxury,1010.4604424129127,1257.6300832205056,916.8175886112475,340.8124946092581,0.0,255.6093709569436,0.90732655146989,0.7290041808347058,Fall,CHARGE_PRIORITY
9,apartment,low,433.0544753198197,382.99434832569585,360.22144485105775,22.772903474638095,40.4641815488739,-19.33808578800794,0.8318155460350035,0.9405398445846721,Fall,CHARGE_PRIORITY
10,small_family,middle,649.5817129797294,528.3277674356898,514.9753460370182,13.352421398671774,89.14107399009524,-70.21265054208189,0.792779931680571,0.9747270118633374,Fall,CHARGE_PRIORITY
11,family_house,high,793.9332047530029,786.8047766064142,716.8441062400138,69.96067036640036,1.5952588599743185,51.03476980082338,0.9029022869285687,0.9110825551057922,Fall,CHARGE_PRIORITY
12,luxury_house,luxury,1010.4604424129127,1262.3673568490744,917.9525478540759,344.41480899499874,0.0,258.31110674624904,0.9084497614395136,0.7271675260562239,Fall,CHARGE_PRIORITY
13,apartment,low,433.0544753198197,376.6332345821642,356.12676443952427,20.506470142639973,45.6614896569456,-25.71548808427106,0.8223601988560846,0.9455532112948296,Fall,CHARGE_PRIORITY
14,small_family,middle,649.5817129797294,540.3560002494469,522.9158609165463,17.440139332900497,79.47504279816313,-58.447434018671444,0.8050039748161202,0.9677247234696208,Fall,CHARGE_PRIORITY
15,family_house,high,793.9332047530029,797.6581512641347,717.5740114305963,80.08413983353839,0.8937297086366045,59.25874813738085,0.903821640327838,0.8996009259021293,Fall,CHARGE_PRIORITY
16,luxury_house,luxury,1010.4604424129127,1268.4228121208353,917.9525478540759,350.47026426675944,0.0,262.8526982000696,0.9084497614395136,0.7236960255541571,Fall,CHARGE_PRIORITY
17,apartment,low,390.6715207655409,375.5262348747903,325.30831750727356,50.21791736751676,33.68435581324494,7.347517793717127,0.8326901251204982,0.8662732115526878,Fall,CHARGE_PRIORITY
18,small_family,middle,649.5817129797294,533.0554322173521,521.2377137524395,11.8177184649124,81.8250508357299,-64.7792569034726,0.8024205474649885,0.9778302259940315,Fall,CHARGE_PRIORITY
19,family_house,high,793.9332047530029,786.1014326722199,717.1809327284176,68.92049994380231,2.462205510592022,49.47438999831891,0.9033265373395444,0.9123261998015719,Fall,CHARGE_PRIORITY
20,luxury_house,luxury,1010.4604424129127,1260.7561699869016,917.9525478540759,342.80362213282564,0.0,257.1027165996192,0.9084497614395136,0.7280968118233463,Fall,CHARGE_PRIORITY
21,apartment,low,433.0544753198197,360.9587099852807,346.3197867101186,14.638923275162103,54.793673346243715,-38.335113555247766,0.7997141386296822,0.9594443273698562,Fall,CHARGE_PRIORITY
22,small_family,middle,649.5817129797294,536.6749493167067,521.7863240550926,14.888625261614163,81.83434937843973,-62.484445494385135,0.8032651068047773,0.9722576481712621,Fall,CHARGE_PRIORITY
23,family_house,high,793.9332047530029,788.1775462136392,717.4727695383367,70.70477667530255,1.3523445138238874,51.81147244403542,0.9036941209198406,0.9102933380746961,Fall,CHARGE_PRIORITY
24,luxury_house,luxury,1010.4604424129127,1259.651814418152,917.9525478540759,341.6992665640761,0.0,256.2744499230571,0.9084497614395136,0.7287351451782641,Fall,CHARGE_PRIORITY
25,apartment,low,408.9989014594848,389.2342020437113,351.78222684386014,37.45197519985121,25.423077804860554,5.208211375513912,0.8601055542901196,0.9037803589633028,Fall,CHARGE_PRIORITY
26,small_family,middle,649.5817129797294,547.4352316615114,526.4558074824986,20.97942417901274,75.89619811655183,-52.57201017063709,0.8104535533606176,0.9616768834637507,Fall,CHARGE_PRIORITY
27,family_house,high,793.9332047530029,784.6965165020094,716.6361095305062,68.06040697150334,1.2450813447799018,49.92473201832559,0.9026403042979614,0.9132653127161819,Fall,CHARGE_PRIORITY
28,luxury_house,luxury,1010.4604424129127,1237.8797201682175,917.9525478540759,319.92717231414167,0.0,239.94537923560625,0.9084497614395136,0.7415522953468644,Fall,CHARGE_PRIORITY
29,apartment,low,430.58170039801445,371.9726953909556,349.73055312652366,22.242142264431976,43.592629950320436,-22.551760256964414,0.8122280923765343,0.940204906058885,Fall,CHARGE_PRIORITY
30,small_family,middle,649.5817129797294,560.5427989813006,531.041760966991,29.501038014309554,73.15411028758231,-43.71292074809192,0.8175134095617043,0.9473705878160897,Fall,CHARGE_PRIORITY
31,family_house,high,793.9332047530029,756.3511404118708,715.8074568063246,40.54368360554619,6.838125298283089,24.253449935704865,0.9015965732646443,0.946395686554438,Fall,CHARGE_PRIORITY
32,luxury_house,luxury,1010.4604424129127,1264.0664485743787,917.1197754339739,346.9466731404048,0.0,260.2100048553036,0.9076256100080005,0.7255313013554839,Fall,CHARGE_PRIORITY
33,apartment,low,433.0544753198197,392.58050494310805,363.1939982614937,29.38650668161433,33.731744639252796,-8.31869016411677,0.8386797018856978,0.9251452725960679,Fall,CHARGE_PRIORITY
34,small_family,middle,632.1586882098742,533.3792913152809,507.84598005267105,25.533311262609796,77.82522192445364,-50.89271628505094,0.8033520530909293,0.95212916647055,Fall,CHARGE_PRIORITY
35,family_house,high,793.9332047530029,787.5999226686113,716.1212495757097,71.4786730929017,2.998468667722279,50.91038301872622,0.9019918115132861,0.9092449465323567,Fall,CHARGE_PRIORITY
36,luxury_house,luxury,1010.4604424129127,1262.7779880579114,917.9525478540759,344.8254402038354,0.0,258.61908015287656,0.9084497614395136,0.7269310651081592,Fall,CHARGE_PRIORITY
37,apartment,low,433.0544753198197,370.16843654468073,353.7516970073784,16.41673953730227,46.283143944701784,-29.342274897254903,0.8168757446649766,0.955650623023012,Fall,CHARGE_PRIORITY
38,small_family,middle,589.725866323538,559.0816120404476,484.6757235299264,74.40588851052117,61.12247986874165,0.7941845010233948,0.8218661435888612,0.8669140839045549,Fall,CHARGE_PRIORITY
39,family_house,high,793.9332047530029,768.3913796838705,711.4302197556974,56.96115992817293,5.5985469735115,37.68217766996935,0.896083216442657,0.9258696005262216,Fall,CHARGE_PRIORITY
40,luxury_house,luxury,1010.4604424129127,1264.2486618588905,917.9525478540759,346.29611400481474,0.0,259.7220855036111,0.9084497614395136,0.7260854415336003,Fall,CHARGE_PRIORITY
41,apartment,low,433.0544753198197,390.1987276635645,368.87413708638854,21.324590577175996,31.030172009058365,-11.933711875270532,0.8517961552388239,0.94534941027393,Fall,CHARGE_PRIORITY
42,small_family,middle,649.5817129797294,533.097827441075,518.053181663977,15.044645777097976,85.54730388401569,-65.70908916279065,0.7975181125213467,0.9717788274446478,Fall,CHARGE_PRIORITY
43,family_house,high,793.9332047530029,789.1882169312405,714.8474886302661,74.3407283009745,5.155084293323188,51.11597036174001,0.9003874436170725,0.9058010158970081,Fall,CHARGE_PRIORITY
44,luxury_house,luxury,1010.4604424129127,1273.7239645280927,917.9525478540759,355.77141667401656,0.0,266.8285625055124,0.9084497614395136,0.7206840519752425,Fall,CHARGE_PRIORITY
45,apartment,low,433.0544753198197,383.06094500984796,354.6246331118741,28.436311897973866,46.65545735244979,-20.66267769372441,0.818891509780557,0.9257655674157991,Fall,CHARGE_PRIORITY
46,small_family,middle,649.5817129797294,542.2975879222286,524.4798913331904,17.817696589038142,76.73533297433488,-55.698527235122796,0.8074117248888086,0.9671440607779479,Fall,CHARGE_PRIORITY
47,family_house,high,793.9332047530029,777.8650740378816,714.2113348195941,63.6537392182875,3.1258435093262884,44.92704525532196,0.8995861749374612,0.9181686627375333,Fall,CHARGE_PRIORITY
