wealth_level,generation_kwh,consumption_kwh,grid_import_kwh,grid_export_kwh,self_consumed_kwh,battery_charge_kwh,battery_discharge_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,avg_soc_kwh,season,strategy
high,793.9332047530029,790.1417057588807,72.62218128000801,2.091830954875684,717.5195244788728,783.5200412889805,709.198191969726,52.58398810061789,0.9037530111895208,0.9081995575490777,4.249107296879145,Summer,CHARGE_PRIORITY
low,430.4618158994081,385.34643359677983,26.59340167934443,38.65870469120645,358.7530319174354,356.7960944157593,323.746015124993,-14.84778296257748,0.8333679752044001,0.9312271229589635,3.373648562865324,Summer,CHARGE_PRIORITY
luxury,1005.1265133352823,1258.1428511127997,344.9908394285911,0.0,913.1520116842086,1005.1265133352823,913.1520116842086,258.7431295714434,0.9084959059714319,0.7258629233898498,2.5944117515481993,Summer,CHARGE_PRIORITY
middle,647.2488689560232,538.0321929186939,18.961775651700243,82.07006906770835,519.0704172669937,487.9285518522756,441.82016923095426,-59.641730422162325,0.8019531649955198,0.9648811124803132,4.687298230054617,Summer,CHARGE_PRIORITY
