wealth_level,generation_kwh,consumption_kwh,grid_import_kwh,grid_export_kwh,self_consumed_kwh,battery_charge_kwh,battery_discharge_kwh,net_cost,self_consumption_ratio,self_sufficiency_ratio,avg_soc_kwh,season,strategy
high,789.1966480409754,786.1774102681953,42.02380798141332,10.958659439462087,744.1536022867821,371.42110041136397,337.3367140966327,21.65506249054411,0.9429132961649378,0.9465092189779574,5.181212575400736,Fall,LOAD_PRIORITY
low,430.67555842967425,381.92317451239256,19.759622223192732,47.69988388469281,362.16355228919986,227.391450134401,206.5793278786194,-28.110178828828982,0.8409086104436103,0.94864666585826,3.509115305165465,Fall,LOAD_PRIORITY
luxury,992.5924693101205,1258.1170263199867,290.1180735922414,0.0,967.9989527277454,327.6551710871337,303.06165450475885,217.58855519418103,0.9752449658385774,0.7693873252494173,3.344358209047647,Fall,LOAD_PRIORITY
middle,647.4331074774002,539.4398576711019,17.930215821574794,99.07172067514118,521.509641849527,284.2376452808095,257.38590032807747,-75.71688674144596,0.8055012733884148,0.9668218502895279,4.812233957133309,Fall,LOAD_PRIORITY
