time,household_type,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
574.0,small_family,1.970412903958095,6.5,5.577252072669571,0.9227479273304287,0.0,4.529587096041905,Spring,LOAD_PRIORITY
575.0,apartment,4.068621009658916,3.6399999999999997,3.6399999999999997,0.0,0.0,-0.42862100965891625,Spring,LOAD_PRIORITY
575.0,family_house,6.8853586317304725,10.08,9.015119543910156,1.0648804560898424,0.0,3.194641368269527,Spring,LOAD_PRIORITY
575.0,luxury_house,8.763183713111511,18.0,8.763183713111511,9.236816286888489,0.0,9.236816286888489,Spring,LOAD_PRIORITY
575.0,small_family,6.102931514488374,6.5,6.408368811035778,0.09163118896422151,0.0,0.39706848551162655,Spring,LOAD_PRIORITY
576.0,apartment,0.0,3.6399999999999997,2.6386950488286227,1.001304951171377,0.0,3.6399999999999997,Spring,LOAD_PRIORITY
576.0,family_house,0.0,10.08,5.686293505869182,4.393706494130818,0.0,10.08,Spring,LOAD_PRIORITY
576.0,luxury_house,0.0,18.0,0.0,18.0,0.0,18.0,Spring,LOAD_PRIORITY
576.0,small_family,0.0,6.5,4.52683679236358,1.97316320763642,0.0,6.5,Spring,LOAD_PRIORITY
577.0,apartment,1.6586016589743555,3.6399999999999997,2.8963449568702027,0.7436550431297968,0.0,1.981398341025644,Spring,LOAD_PRIORITY
577.0,family_house,2.806864345956602,10.08,4.8210926642071055,5.258907335792895,0.0,7.273135654043398,Spring,LOAD_PRIORITY
577.0,luxury_house,3.5723728039447664,18.0,3.5723728039447664,14.427627196055234,0.0,14.427627196055234,Spring,LOAD_PRIORITY
577.0,small_family,2.4879024884615335,6.5,5.086187196323265,1.4138128036767352,0.0,4.0120975115384665,Spring,LOAD_PRIORITY
578.0,apartment,2.870010683252827,3.6399999999999997,3.2832914343135196,0.35670856568648013,0.0,0.7699893167471726,Spring,LOAD_PRIORITY
578.0,family_house,4.856941156274015,10.08,5.7274509635616795,4.352549036438321,0.0,5.223058843725984,Spring,LOAD_PRIORITY
578.0,luxury_house,6.181561471621474,18.0,6.181561471621474,11.818438528378525,0.0,11.818438528378525,Spring,LOAD_PRIORITY
578.0,small_family,4.305016024879241,6.5,5.655775394184324,0.8442246058156766,0.0,2.194983975120759,Spring,LOAD_PRIORITY
579.0,apartment,3.1685331992819235,3.6399999999999997,3.3861332611518047,0.253866738848195,0.0,0.47146680071807634,Spring,LOAD_PRIORITY
579.0,family_house,5.362133106477101,10.08,6.040792719055863,4.0392072809441375,0.0,4.717866893522899,Spring,LOAD_PRIORITY
579.0,luxury_house,6.824533044607219,18.0,6.824533044607219,11.175466955392782,0.0,11.175466955392782,Spring,LOAD_PRIORITY
579.0,small_family,4.752799798922885,6.5,5.827999922662648,0.6720000773373519,0.0,1.7472002010771148,Spring,LOAD_PRIORITY
580.0,apartment,2.773020469938692,3.6399999999999997,3.1731648684285263,0.4668351315714734,0.0,0.8669795300613078,Spring,LOAD_PRIORITY
580.0,family_house,4.692803872203941,10.08,5.141736882853612,4.938263117146388,0.0,5.387196127796059,Spring,LOAD_PRIORITY
580.0,luxury_house,5.972659473714106,18.0,5.972659473714106,12.027340526285895,0.0,12.027340526285895,Spring,LOAD_PRIORITY
580.0,small_family,4.159530704908038,6.5,5.599819501887707,0.9001804981122932,0.0,2.3404692950919626,Spring,LOAD_PRIORITY
581.0,apartment,2.06078309598867,3.6399999999999997,2.7896524363015915,0.8503475636984082,0.0,1.5792169040113295,Spring,LOAD_PRIORITY
581.0,family_house,3.4874790855192876,10.08,3.565266206432661,6.514733793567339,0.0,6.592520914480712,Spring,LOAD_PRIORITY
581.0,luxury_house,4.4386097452063655,18.0,4.4386097452063655,13.561390254793633,0.0,13.561390254793633,Spring,LOAD_PRIORITY
581.0,small_family,3.0911746439830052,6.5,5.177421662007311,1.3225783379926894,0.0,3.4088253560169948,Spring,LOAD_PRIORITY
582.0,apartment,11.372509273789461,3.6399999999999997,3.6399999999999997,0.0,0.0,-7.7325092737894625,Spring,LOAD_PRIORITY
582.0,family_house,19.245784924874474,10.08,10.08,0.0,0.0,-9.165784924874474,Spring,LOAD_PRIORITY
582.0,luxury_house,24.49463535893115,18.0,18.0,0.0,0.0,-6.4946353589311485,Spring,LOAD_PRIORITY
582.0,small_family,17.058763910684192,6.5,6.5,0.0,0.0,-10.558763910684192,Spring,LOAD_PRIORITY
583.0,apartment,11.42980865012964,3.6399999999999997,3.6399999999999997,0.0,0.0,-7.789808650129641,Spring,LOAD_PRIORITY
583.0,family_house,19.34275310021939,10.08,10.08,0.0,0.0,-9.26275310021939,Spring,LOAD_PRIORITY
583.0,luxury_house,24.618049400279226,18.0,18.0,0.0,0.0,-6.618049400279226,Spring,LOAD_PRIORITY
583.0,small_family,17.14471297519446,6.5,6.5,0.0,0.0,-10.64471297519446,Spring,LOAD_PRIORITY
584.0,apartment,11.56907232413847,3.6399999999999997,3.6399999999999997,0.0,0.0,-7.929072324138469,Spring,LOAD_PRIORITY
584.0,family_house,19.57843008700356,10.08,10.08,0.0,0.0,-9.49843008700356,Spring,LOAD_PRIORITY
584.0,luxury_house,24.918001928913625,18.0,18.0,0.0,0.0,-6.918001928913624,Spring,LOAD_PRIORITY
584.0,small_family,17.3536084862077,6.5,6.5,0.0,0.0,-10.853608486207701,Spring,LOAD_PRIORITY
585.0,apartment,12.344142286962482,3.6399999999999997,3.6399999999999997,0.0,0.0,-8.704142286962481,Spring,LOAD_PRIORITY
585.0,family_house,20.890086947167276,10.08,10.08,0.0,0.0,-10.810086947167278,Spring,LOAD_PRIORITY
585.0,luxury_house,26.58738338730381,18.0,18.0,0.0,0.0,-8.58738338730381,Spring,LOAD_PRIORITY
585.0,small_family,18.51621343044372,6.5,6.5,0.0,0.0,-12.01621343044372,Spring,LOAD_PRIORITY
586.0,apartment,13.32206024415543,3.6399999999999997,3.6399999999999997,0.0,0.0,-9.68206024415543,Spring,LOAD_PRIORITY
586.0,family_house,22.54502502857073,10.08,10.08,0.0,0.0,-12.465025028570729,Spring,LOAD_PRIORITY
586.0,luxury_house,28.693668218180928,18.0,18.0,0.0,0.0,-10.693668218180928,Spring,LOAD_PRIORITY
586.0,small_family,19.98309036623315,6.5,6.5,0.0,0.0,-13.483090366233148,Spring,LOAD_PRIORITY
587.0,apartment,14.276839288961376,3.6399999999999997,3.6399999999999997,0.0,0.13560452936338618,-10.636839288961376,Spring,LOAD_PRIORITY
587.0,family_house,24.160804950550023,10.08,10.08,0.0,0.0,-14.080804950550023,Spring,LOAD_PRIORITY
587.0,luxury_house,30.750115391609114,18.0,18.0,0.0,0.0,-12.750115391609116,Spring,LOAD_PRIORITY
587.0,small_family,21.415258933442065,6.5,6.5,0.0,0.0,-14.915258933442065,Spring,LOAD_PRIORITY
588.0,apartment,15.785583430686781,3.6399999999999997,3.6399999999999997,0.0,0.9342756485143677,-12.14558343068678,Spring,LOAD_PRIORITY
588.0,family_house,26.714064267316097,10.08,10.08,0.0,0.0,-16.6340642673161,Spring,LOAD_PRIORITY
588.0,luxury_house,33.9997181584023,18.0,18.0,0.0,0.0,-15.999718158402299,Spring,LOAD_PRIORITY
588.0,small_family,23.678375146030174,6.5,6.5,0.0,0.28081940894494717,-17.178375146030174,Spring,LOAD_PRIORITY
589.0,apartment,16.043365796796845,3.6399999999999997,3.6399999999999997,0.0,0.954105061292065,-12.403365796796844,Spring,LOAD_PRIORITY
589.0,family_house,27.150311348425426,10.08,10.08,0.0,0.0,-17.070311348425427,Spring,LOAD_PRIORITY
589.0,luxury_house,34.55494171617782,18.0,18.0,0.0,0.0,-16.55494171617782,Spring,LOAD_PRIORITY
589.0,small_family,24.065048695195266,6.5,6.5,0.0,1.7001047970175465,-17.565048695195266,Spring,LOAD_PRIORITY
590.0,apartment,17.71012978989475,3.6399999999999997,3.6399999999999997,0.0,1.08231767614575,-14.07012978989475,Spring,LOAD_PRIORITY
590.0,family_house,29.9709888752065,10.08,10.08,0.0,0.0,-19.890988875206503,Spring,LOAD_PRIORITY
590.0,luxury_house,38.144894932081,18.0,18.0,0.0,0.0,-20.144894932081,Spring,LOAD_PRIORITY
590.0,small_family,26.565194684842126,6.5,6.5,0.0,3.6406477840840887,-20.065194684842126,Spring,LOAD_PRIORITY
591.0,apartment,17.48055079956192,3.6399999999999997,3.6399999999999997,0.0,3.053197390099269,-13.840550799561921,Spring,LOAD_PRIORITY
591.0,family_house,29.582470583874024,10.08,10.08,0.0,0.0,-19.502470583874025,Spring,LOAD_PRIORITY
591.0,luxury_house,37.65041710674876,18.0,18.0,0.0,0.0,-19.65041710674876,Spring,LOAD_PRIORITY
591.0,small_family,26.22082619934288,6.5,6.5,0.0,14.246195139914207,-19.72082619934288,Spring,LOAD_PRIORITY
592.0,apartment,13.631912334640218,3.6399999999999997,3.6399999999999997,0.0,7.4532596849967145,-9.991912334640217,Spring,LOAD_PRIORITY
592.0,family_house,23.069390104775756,10.08,10.08,0.0,0.0,-12.989390104775756,Spring,LOAD_PRIORITY
592.0,luxury_house,29.361041951532776,18.0,18.0,0.0,0.0,-11.361041951532778,Spring,LOAD_PRIORITY
592.0,small_family,20.44786850196033,6.5,6.5,0.0,13.947868501960329,-13.947868501960329,Spring,LOAD_PRIORITY
593.0,apartment,10.39364051205688,3.6399999999999997,3.6399999999999997,0.0,6.753640512056879,-6.753640512056879,Spring,LOAD_PRIORITY
593.0,family_house,17.589237789634716,10.08,10.08,0.0,0.0,-7.509237789634717,Spring,LOAD_PRIORITY
593.0,luxury_house,22.38630264135328,18.0,18.0,0.0,0.0,-4.386302641353279,Spring,LOAD_PRIORITY
593.0,small_family,15.590460768085318,6.5,6.5,0.0,9.090460768085318,-9.090460768085318,Spring,LOAD_PRIORITY
594.0,apartment,8.529486872759342,23.80977792215561,23.80977792215561,0.0,0.0,15.280291049396268,Spring,LOAD_PRIORITY
594.0,family_house,14.434516246208116,32.78535223231149,32.78535223231149,0.0,0.0,18.350835986103373,Spring,LOAD_PRIORITY
594.0,luxury_house,18.371202495173964,34.36085701475475,34.36085701475475,0.0,0.0,15.989654519580782,Spring,LOAD_PRIORITY
594.0,small_family,12.794230309139012,28.416937483840375,28.416937483840375,0.0,0.41683344777858844,15.622707174701361,Spring,LOAD_PRIORITY
595.0,apartment,0.0,20.609344168985995,20.609344168985995,0.0,0.0,20.609344168985995,Spring,LOAD_PRIORITY
595.0,family_house,0.0,26.437085394989648,26.437085394989648,0.0,0.0,26.437085394989648,Spring,LOAD_PRIORITY
595.0,luxury_house,0.0,39.20768308295501,39.20768308295501,0.0,0.0,39.20768308295501,Spring,LOAD_PRIORITY
595.0,small_family,0.0,27.3485686468445,27.3485686468445,0.0,0.0,27.3485686468445,Spring,LOAD_PRIORITY
596.0,apartment,0.0,26.59520418862008,26.59520418862008,0.0,0.0,26.59520418862008,Spring,LOAD_PRIORITY
596.0,family_house,0.0,30.257998710057933,30.257998710057933,0.0,0.0,30.257998710057933,Spring,LOAD_PRIORITY
596.0,luxury_house,0.0,41.195633045277724,41.195633045277724,0.0,0.0,41.195633045277724,Spring,LOAD_PRIORITY
596.0,small_family,0.0,28.00079946797554,28.00079946797554,0.0,0.0,28.00079946797554,Spring,LOAD_PRIORITY
597.0,apartment,0.0,28.43567698222759,24.713837446279623,3.721839535947968,0.0,28.43567698222759,Spring,LOAD_PRIORITY
597.0,family_house,0.0,27.00016499137721,27.00016499137721,0.0,0.0,27.00016499137721,Spring,LOAD_PRIORITY
597.0,luxury_house,0.0,39.48861863572675,26.369060354579762,13.119558281146993,0.0,39.48861863572675,Spring,LOAD_PRIORITY
597.0,small_family,0.0,25.9120439081865,23.350457802741296,2.561586105445206,0.0,25.9120439081865,Spring,LOAD_PRIORITY
598.0,apartment,1.5450092317237434,3.6399999999999997,2.9953874559149978,0.6446125440850019,0.0,2.094990768276256,Spring,LOAD_PRIORITY
598.0,family_house,2.6146310075324886,10.08,10.046719760060775,0.03328023993922691,0.0,7.4653689924675115,Spring,LOAD_PRIORITY
598.0,luxury_house,3.327712191404985,18.0,5.860313715727561,12.139686284272438,0.0,14.672287808595014,Spring,LOAD_PRIORITY
598.0,small_family,2.317513847585615,6.5,5.856540591936248,0.6434594080637515,0.0,4.182486152414384,Spring,LOAD_PRIORITY
599.0,apartment,4.361801417162046,3.6399999999999997,3.6399999999999997,0.0,0.0,-0.7218014171620462,Spring,LOAD_PRIORITY
599.0,family_house,7.381510090581924,10.08,9.855125840881827,0.224874159118173,0.0,2.698489909418076,Spring,LOAD_PRIORITY
599.0,luxury_house,9.394649206195176,18.0,10.243269851841731,7.756730148158269,0.0,8.605350793804824,Spring,LOAD_PRIORITY
599.0,small_family,6.5427021257430695,6.5,6.5,0.0,0.0,-0.04270212574306931,Spring,LOAD_PRIORITY
600.0,apartment,0.0,3.6399999999999997,2.5929002409353337,1.0470997590646658,0.0,3.6399999999999997,Spring,LOAD_PRIORITY
600.0,family_house,0.0,10.08,9.18609184128224,0.89390815871776,0.0,10.08,Spring,LOAD_PRIORITY
600.0,luxury_house,0.0,18.0,0.0,18.0,0.0,18.0,Spring,LOAD_PRIORITY
600.0,small_family,0.0,6.5,5.505912602025964,0.9940873979740366,0.0,6.5,Spring,LOAD_PRIORITY
601.0,apartment,1.9295603216052077,3.6399999999999997,2.7668841011633245,0.8731158988366752,0.0,1.710439678394792,Spring,LOAD_PRIORITY
601.0,family_house,3.2654097750241977,10.08,7.881360265347185,2.1986397346528137,0.0,6.8145902249758015,Spring,LOAD_PRIORITY
601.0,luxury_house,4.155976077303524,18.0,4.155976077303524,13.844023922696476,0.0,13.844023922696476,Spring,LOAD_PRIORITY
601.0,small_family,2.894340482407811,6.5,5.945283151139663,0.5547168488603367,0.0,3.6056595175921884,Spring,LOAD_PRIORITY
602.0,apartment,3.0620808918854,3.6399999999999997,3.3288127879382925,0.3111872120617073,0.0,0.5779191081145993,Spring,LOAD_PRIORITY
