time,household_type,generation_kwh,load_kwh,self_consumed_kwh,grid_import,grid_export,net_load_kwh,season,strategy
629.0,family_house,5.379763894431725,10.08,5.953850316650034,4.126149683349965,0.0,4.700236105568275,Summer,CHARGE_PRIORITY
629.0,luxury_house,6.846972229276741,18.0,6.162275006349066,11.837724993650934,0.0,11.15302777072326,Summer,CHARGE_PRIORITY
629.0,small_family,4.768427088246301,6.5,5.798487416262091,0.7015125837379086,0.0,1.7315729117536987,Summer,CHARGE_PRIORITY
630.0,apartment,11.700571946945836,3.6399999999999997,3.6399999999999997,0.0,0.0,-8.060571946945837,Summer,CHARGE_PRIORITY
630.0,family_house,19.80096791021603,10.08,10.08,0.0,0.0,-9.720967910216032,Summer,CHARGE_PRIORITY
630.0,luxury_house,25.201231885729495,18.0,18.0,0.0,0.0,-7.201231885729495,Summer,CHARGE_PRIORITY
630.0,small_family,17.550857920418753,6.5,6.5,0.0,0.0,-11.050857920418753,Summer,CHARGE_PRIORITY
631.0,apartment,11.607469777185907,3.6399999999999997,3.6399999999999997,0.0,0.0,-7.967469777185906,Summer,CHARGE_PRIORITY
631.0,family_house,19.643410392160767,10.08,10.08,0.0,0.0,-9.563410392160765,Summer,CHARGE_PRIORITY
631.0,luxury_house,25.000704135477342,18.0,18.0,0.0,0.0,-7.00070413547734,Summer,CHARGE_PRIORITY
631.0,small_family,17.41120466577886,6.5,6.5,0.0,0.0,-10.91120466577886,Summer,CHARGE_PRIORITY
632.0,apartment,11.740652204004398,3.6399999999999997,3.6399999999999997,0.0,0.0,-8.1006522040044,Summer,CHARGE_PRIORITY
632.0,family_house,19.868796037545906,10.08,10.08,0.0,0.0,-9.788796037545907,Summer,CHARGE_PRIORITY
632.0,luxury_house,25.287558593240245,18.0,18.0,0.0,0.0,-7.287558593240245,Summer,CHARGE_PRIORITY
632.0,small_family,17.610978306006597,6.5,6.5,0.0,0.0,-11.110978306006597,Summer,CHARGE_PRIORITY
633.0,apartment,12.56111345186354,3.6399999999999997,3.6399999999999997,0.0,0.0,-8.92111345186354,Summer,CHARGE_PRIORITY
633.0,family_house,21.257268918538294,10.08,10.08,0.0,0.0,-11.177268918538296,Summer,CHARGE_PRIORITY
633.0,luxury_house,27.054705896321465,18.0,18.0,0.0,0.0,-9.054705896321467,Summer,CHARGE_PRIORITY
